Type,id,Lat,Lon,Alt,Speed/Weight,Radius,14,69
P,0,32.10526801,35.21085983,0,1,1,,
P,1,32.10225369,35.20311757,0,1,1,,
P,2,32.10513241,35.21073173,0,1,1,,
P,3,32.10212332,35.2119327,0,1,1,,
P,4,32.10264482,35.211068,0,1,1,,
P,5,32.10543489,35.20913844,0,1,1,,
P,6,32.10463698,35.20889024,0,1,1,,
P,7,32.10251966,35.20391021,0,1,1,,
P,8,32.10487688,35.20935462,0,1,1,,
P,9,32.10497596,35.21015526,0,1,1,,
P,10,32.10239971,35.21138826,0,1,1,,
P,11,32.10241015,35.20347786,0,1,1,,
P,12,32.104783,35.20973893,0,1,1,,
P,13,32.10531494,35.20998713,0,1,1,,
F,0,32.10520021,35.20436658,0,1,,,
F,1,32.10484558,35.20404632,0,1,,,
F,2,32.10451182,35.20448668,0,1,,,
F,3,32.10439187,35.20536739,0,1,,,
F,4,32.10480908,35.20543945,0,1,,,
F,5,32.10493946,35.20595987,0,1,,,
F,6,32.10534623,35.20516723,0,1,,,
F,7,32.10446488,35.20677653,0,1,,,
F,8,32.10404246,35.20583177,0,1,,,
F,9,32.10392252,35.20554353,0,1,,,
F,10,32.10354703,35.20542344,0,1,,,
F,11,32.10355225,35.2045187,0,1,,,
F,12,32.10409461,35.20455073,0,1,,,
F,13,32.10315069,35.20459877,0,1,,,
F,14,32.10290036,35.20487099,0,1,,,
F,15,32.10274391,35.20560759,0,1,,,
F,16,32.10333843,35.20483896,0,1,,,
F,17,32.10318719,35.20586379,0,1,,,
F,18,32.10276477,35.20654434,0,1,,,
F,19,32.10240493,35.20680856,0,1,,,
F,20,32.10247794,35.20752113,0,1,,,
F,21,32.10278042,35.20737702,0,1,,,
F,22,32.1031559,35.20688862,0,1,,,
F,23,32.10316112,35.20769728,0,1,,,
F,24,32.10288472,35.2084739,0,1,,,
F,25,32.10243101,35.20917847,0,1,,,
F,26,32.1037087,35.20691264,0,1,,,
F,27,32.10400596,35.20668846,0,1,,,
F,28,32.10412069,35.20720888,0,1,,,
F,29,32.10471521,35.20752914,0,1,,,
F,30,32.10437623,35.20799351,0,1,,,
F,31,32.10463698,35.20889024,0,1,,,
F,32,32.10396424,35.2089623,0,1,,,
F,33,32.10366698,35.21023533,0,1,,,
F,34,32.10349488,35.20965886,0,1,,,
F,35,32.10290558,35.21005919,0,1,,,
F,36,32.10273869,35.20961082,0,1,,,
F,37,32.10351053,35.20873011,0,1,,,
F,38,32.103813,35.2079695,0,1,,,
F,39,32.10350531,35.20802554,0,1,,,
F,40,32.10487688,35.20935462,0,1,,,
F,41,32.10497596,35.21015526,0,1,,,
F,42,32.10513241,35.21073173,0,1,,,
F,43,32.10387558,35.21081179,0,1,,,
F,44,32.1033645,35.21057961,0,1,,,
F,45,32.10283778,35.21077176,0,1,,,
F,46,32.10283778,35.21077176,0,1,,,
F,47,32.10264482,35.211068,0,1,,,
F,48,32.10239971,35.21138826,0,1,,,
F,49,32.10212332,35.2119327,0,1,,,
F,50,32.10279085,35.2042625,0,1,,,
F,51,32.10251966,35.20391021,0,1,,,
F,52,32.10241015,35.20347786,0,1,,,
F,53,32.10225369,35.20311757,0,1,,,
F,54,32.10472564,35.20338179,0,1,,,
F,55,32.10462655,35.20279731,0,1,,,
F,56,32.10534102,35.20320564,0,1,,,
F,57,32.10530451,35.207353,0,1,,,
F,58,32.10536709,35.20796149,0,1,,,
F,59,32.10515327,35.20803355,0,1,,,
F,60,32.10504376,35.20815364,0,1,,,
F,61,32.10492381,35.20833779,0,1,,,
F,62,32.10510112,35.20856998,0,1,,,
F,63,32.10519499,35.20873011,0,1,,,
F,64,32.10531494,35.20892227,0,1,,,
F,65,32.10543489,35.20913844,0,1,,,
F,66,32.10526801,35.21085983,0,1,,,
F,67,32.10531494,35.20998713,0,1,,,
F,68,32.104783,35.20973893,0,1,,,